input_es,input_en,icd10pcs_code,icd10pcs_term
CORRECIÓN QUIRÚRGICA .,SURGICAL CORRECTION.,A4550,Surgical trays
RESECCION DE POLIPO POR HISTEREOSCOPIA,POLYP RESECTION BY HYSTEREOSCOPY,,
ARTROSCOPIA DE RODILLA,KNEE ARTHRSCOPY,L2182,Drop lock knee
PROSTATECTOMÍA POR LAPAROSCOPIA.,PROSTATECTOMY BY LAPAROSCOPY.,,
CATETERISMO CARDIACO .,CARDIAC CATHETERIZATION.,G0278,"Iliac art angio,cardiac cath"
RESECCION GINECOMASTIA BILATERAL,BILATERAL GYNECOMASTIA RESECTION,L1690,Combination bilateral ho
TIROIDECTOMÍA,THYROIDECTOMY,C7555,Rmvl thyrd w/autotran parath
REDUCCION ABIERTA/CAPSULOTOMIA,OPEN REDUCTION/CAPSULOTOMY,L5321,Ak open end sach
CUADSRANTECTOMIA MAMA IZQ .,LEFT BREAST QUADRANTECTOMY,G8395,Lvef>=40% doc normal or mild
LOBECTOMÍA INFERIOR IZQUIERDA + VACIAMINETO GANGLIONAR POR TORACOSCOPIA .,LEFT LOWER LOBECTOMY + NON EMPTYING BY THORACOSCOPY.,,
LAPAROSCOPIA DIAGNOTICA,DIAGNOTIC LAPAROSCOPY,G0342,Laparoscopy islet cell trans
CORRECCION DE HALLUS VALGUS,HALLUS VALGUS CORRECTION,L3100,Hallus-valgus nt dyn pre ots
ARTROSCOPIA RODILLA DER,RIGHT KNEE ARTHRSCOPY,G9502,Med reas no perf foot exam
"IQ: EXTRACCION EXTRACAPSULAR ASISTIDA DE CRISTALINO, ...","IQ: ASSISTED EXTRACAPSULAR GLASS EXTRACTION, ...",,
PLASTIA DE FRENILLO,BRAKE PLASTY,E0961,Wheelchair brake extension
IQ: ABLACION U OCLUSION DE TROMPA DE FALOPIO BILATERAL POR LAPAROTOMIA,IQ: ABLATION OR OCCLUSION OF BILATERAL FALLOPIAN TUBE BY LAPAROTOMY,,
LIGADURA TROMPAS POR LAPAROSCOPIA,TUBAL LIGATION BY LAPAROSCOPY,,
COLECISTECTOMIA LAPAROSCOPICA,LAPAROSCOPIC CHOLECYSTECTOMY,S2079,Lap esophagomyotomy
RMN DE CADERA,HIP MRI,L5702,Replace socket hip
IQ: HERNIORRAFIA INGUINAL UNILATERAL VÍA LAPAROSCÓPICA,IQ: UNILATERAL INGUINAL HERNIORRHAPHY VIA LAPAROSCOPIC,,
CISTOSCOPIA .,CYSTOSCOPY.,C9739,Cystoscopy prostatic imp 1-3
MIOMECTOMIA Y LIGADURA TROMPAS POR LAPAROSCOPIA,MYOMECTOMY AND TUBAL LIGATION BY LAPAROSCOPY,,
CIRCUNSCION,CIRCUMSTANCE,G0559,Unrelat prac follow up visit
BIOPSIA DE MASA DE CUELLO,NECK MASS BIOPSY,A6513,Compress burn mask face/neck
CUADRANTECTOMIA MÁS VACIAMIENTO MÁS COLGAJO,QUADRANTECTOMY PLUS EMPTYING PLUS FLAP,,
RESECCIÓN MASA PERIANAL,PERIANAL MASS RESECTION,A4330,Stool collection pouch
IQ: HERNIORRAFIA UMBILICAL VÍA ABIERTA,IQ: OPEN APPROACH UMBILICAL HERNIORRHAPHY,,
CUADRANTECTOMIA + VACIAMINEOT AXILAR,QUADRANTECTOMY + AXILLARY VACIAMINEOT,,
IQ: EXTRACCIÓN DE CUERPO EXTRAÑO INTRAARTICULAR EN MUÑECA POR ARTROTOMÍA,IQ: REMOVAL OF INTRAARTICULAR FOREIGN BODY IN WRIST BY ARTHROTOMY,,
"EVDA , COLONOSOCOPIA","EVDA, COLONOSOCOPY",,
IQ: ESFINTEROTOMIA ANAL VIA ABIERTA CON O SIN HEMORROIDES EXTERNAS,IQ: OPEN ANAL SPHINTEROTOMY WITH OR WITHOUT EXTERNAL HEMORRHOIDS,,
IQ: ABLACION U OCLUSION DE TROMPA DE FALOPIO  BILATERAL POR LAPAROSCOPIA,IQ: ABLATION OR OCCLUSION OF BILATERAL FALLOPIAN TUBE BY LAPAROSCOPY,,
ARTROSCOPIA DE HMBRO DER,RIGHT HMBRO ARTHROSCOPY,C1605,"Pmkr, dual, leadless"
FACO + LIO OD .,PHACO + IOL OD.,,
CUADRANTECTOMIA + VACIAMIENTO GANGLIONAR AXILAR,QUADRANTECTOMY + AXILLARY GANGLIONAL CLEARING,,
REDUCCION/OTS,REDUCTION/OTS,E2227,Gear reduction drive wheel
RMN CEREBRAL,BRAIN MRI,G9538,Adv brain image ordered
LIGADURA DE VENA ESPERMA´TICA,SPERMATIC VEIN LIGATION,,
RETIRO DE CATETER,CATHETER REMOVAL,C7546,Rep nph/urt cath w/dil stric
RESECCION CON LASER,LASER RESECTION,C2629,"Intro/sheath, laser"
RMN COLUMNA TOTAL,TOTAL COLUMN NMR,S2118,Total hip resurfacing
"IQ: HISTEROSCOPIA, BIOPSIA DE ENDOMETRIO","IQ: HYSTEROSCOPY, ENDOMETRIAL BIOPSY",G9823,Endo smpl/hyst bx res doc
RETIRO DE MATERIAL DE OTS,OTS MATERIAL REMOVAL,L1653,Ho abduction static ots
RMN CEREBRO Y COLUMNA,BRAIN AND SPINE MRI,,
CESAREA MAS POMEROY,CESAREA MAS POMEROY,S9438,Cesarean birth class
RETIRO MATERIAL OTS/TENOSINOVECTOMIA,OTS/TENOSINOVECTOMY MATERIAL REMOVAL,,
CORRECCION,CORRECTION,A9285,Inversion eversion cor devic
LAPAROSCOPIA- PANCREATECTOMIA - ESPLENECTOMIA,LAPAROSCOPY - PANCREATECTOMY - SPLENECTOMY,G0342,Laparoscopy islet cell trans
OSTEOTOMÍA TIBIA PERONÉ,TIBIA FIBULAR OSTEOTOMY,C8003,Imp extar knee shck absrb
RMN CEREBRAL SIMPLE.,SIMPLE BRAIN MRI.,G9547,Cys ren les or adren
CORRECCIÓN BILATERAL ESTRABISMO,BILATERAL CORRECTION STRABISMUS,L1690,Combination bilateral ho
BIOPSIA DE MSA SUBMAXILAR,SUBMAXILLARY MSA BIOPSY,,
OSTEOTOMIA SAGITALES BILT MANDIBULA/OSTEOTOMIA MENTON /IMPLANTES PARANASALES,SAGITTAL BILT MANDIBULA OSTEOTOMY / MENTAL OSTEOTOMY / PARANASAL IMPLANTS,,
HIDROCELECTOMIA,HYDROCELECTOMY,,
RMN DORSAL- LUMBAR -SACROILIACAS,DORSAL-LUMBAR-SACROILIAC MRI,,
ENDOSCOIPIA ALTA,HIGH ENDOSCOPY,K0004,High strength ltwt whlchr
CAMBIOS PRÓTESIS MAMARIAS,BREAST PROSTHESIS CHANGES,C1789,"Prosthesis, breast, imp"
ISTULECTMIA PERIANAL .,PERIANAL ISTULECTMIA.,A4330,Stool collection pouch
EVDA+ DILATACION ESOFAGICA.,EVDA+ ESOPHAGEAL DILATION.,,
CPER .,CPER.,,
RESECCION DE LESIONES EN PIEL VARIOS LUGARES ANATOMICOS,RESECTION OF SKIN LESIONS IN VARIOUS ANATOMIC PLACES,,
HEMORROIDECTOMÍA,HEMORRHOIDECTOMY,,
IQ: COLECISTECTOMIA VIA LAPAROSCOPICA,IQ: LAPAROSCOPIC CHOLECYSTECTOMY,M1196,Ixv nrs vrs iqa >=4
CIRUGÍA ENDOSCÓPICA TRANSNASAL POSIBLE CIERRE DE FÍSTULA LCR .,TRANSNASAL ENDOSCOPIC SURGERY POSSIBLE CLOSURE OF CSF FISTULA.,,
MIOMECTOMIA LAPAROSCOPICA E HISTEROSCOPIA,LAPAROSCOPIC MYOMECTOMY AND HYSTEROSCOPY,,
ARTROSCOPIA HOMBRO IZQ,LEFT SHOULDER ARTHRSCOPY,G8395,Lvef>=40% doc normal or mild
"IQ: DIVISIÓN DE CAPSULA. LIGAMENTO O CARTÍLAGO ARTICULAR DE HOMBRO POR ARTROSCOPIA, ...","IQ: CAPSULE DIVISION. LIGAMENT OR ARTICULAR CARTILAGE OF THE SHOULDER BY ARTHROSCOPY, ...",,
IQ: HISTERECTOMIA TOTAL POR LAPAROSCOPIA,IQ: TOTAL HYSTERECTOMY BY LAPAROSCOPY,,
IQ: HERNIORRAFIA INGUINAL BILATERAL VIA ABIERTA,IQ: BILATERAL INGUINAL HERNIORRHAPHY OPEN APPROACH,,
MASTECTOMIA RADICAL/RECONSTRUCCION,RADICAL MASTECTOMY/RECONSTRUCTION,,
"IQ: CAPSULORRAFIA DE HOMBRO POR ARTROSCOPIA, SUTURA DEL TENDON [TENODESIS] BICIPITAL POR ENDOSCOPIA","IQ: SHOULDER CAPSULORRHAPHY BY ARTHROSCOPY, BICIPITAL TENDON [TENODESIS] SUTURE BY ENDOSCOPY",,
TENOSINOVECTOMIA MANO DERECHA,RIGHT HAND TENOSINOVECTOMY,C1605,"Pmkr, dual, leadless"
RETIRO DE MAT DE OT FÉMUR .,OT FEMUR MAT REMOVAL.,,
CVC IMPLANTABLE,IMPLANTABLE CVC,C1781,Mesh (implantable)
ARTRSOCOPIA HOMBRO IZQUIERD,LEFT SHOULDER ARTHROSCOPY,S2300,"Arthroscopy, shoulder, surgi"
URETERORENOSCOPIA FLEXIBLE LASER,FLEXIBLE LASER URETERORENOSCOPY,L5972,Flexible keel foot
"FISTULECTOMIA ANAL , ESFINTEROTOMÍA ANAL .","ANAL FISTULECTOMY, ANAL SPHINTEROTOMY.",,
NASOFIBROLARINGOSCOPIA.,NASOFIBROLARINGOSCOPY.,,
CIRCUNCISION,CIRCUMCISION,,
ARTROSCOPIA DE MUÑECA DERECHA,ARTHROSCOPY OF THE RIGHT WRIST,,
CUADRANTECTOMIA IZQUIERDA + VACIAMIENTO GANGLIONAR,LEFT QUADRANTECTOMY + GANGLION CLEARING,,
"CIRUGÍA LÁSER DE VÍA AÉREA , ARITNOPLASTIA, CAMBIO DE CÁNUAL TQTR .","AIRWAY LASER SURGERY, ARITNOPLASTY, TQTR CANNUAL EXCHANGE.",,
RECONSTRUCCIÓN E MAMA IZQUIERDA .,RECONSTRUCTION AND LEFT BREAST.,S2066,Breast gap flap reconst
RESECCIÓN + COLGAJO,RESECTION + FLAP,G9613,Doc post surg anatomy
VALORACIÓN DE VÍA AÉREA .,AIRWAY VALUATION.,A7035,Pos airway press headgear
MICROLARINGOSCOPIA,MICROLARYNGOSCOPY,,
EXTRACCION D EMATERIAL DE OTS,OTS D EMATERIAL EXTRACTION,,
RECONSTRUCCION DE TENDONES PERONEOS .,RECONSTRUCTION OF PERONEAL TENDONS.,,
ECOGRAFIA BILIOPANCREÁTICA .,BILIOPANCREATIC ULTRASOUND.,C1753,"Cath, intravas ultrasound"
RETIRO DE MATERIAL DE OSTEOSINTESIS,REMOVAL OF OSTEOSYNTHESIS MATERIAL,,
CX MANO DE ALTA COMPLEJIDAD,CX HIGH COMPLEXITY HAND,,
RMN COLUMNA,COLUMN NMR,G8946,Mibm but no dx of breast ca
RESECCION DE TUMOR PARED TORAX,CHEST WALL TUMOR RESECTION,,
CIRUGÍA DE CORRECCION DE ESCOLIOSIS,SCOLIOSIS CORRECTION SURGERY,G9945,Pt w/cancer scoliosis
"RESECCION GANGLION, TENOSINOVECTOMIA","GANGLION RESECTION, TENOSYNOVECTOMY",,
CAMBIO DE FIJACION EXTERNA POR INTERNA EN MMMIIS,CHANGE FROM EXTERNAL TO INTERNAL FIXATION IN MMMIIS,,
"IQ: COLGAJO LOCAL DE PIEL COMPUESTO DE VECINDAD ENTRE CINCO A DIEZ CENTIMETROS CUADRADOS, ...","IQ: LOCAL SKIN FLAP COMPOSED OF NEIGHBORHOOD BETWEEN FIVE TO TEN SQUARE CENTIMETERS,...",,
FACO + LIO OI,PHACO + IOL LE,S0596,Phakic iol refractive error
MIOMECTOMIA POR LAPAROSOPIA,LAPAROSOPY MYOMECTOMY,,
RETIRO DE MATERIAL DE OST AMBOS FEMURES,REMOVAL OF MATERIAL FROM BOTH FEMURES,,
OTS DE FALANGE DISTA ¿L Y TENORRAFIA DE LTENDON EXTENSONR 3 DEDO MANO DERECH A,OTS OF DISTANT PHALANGE AND TENORRHAPHY OF LTENDOON EXTENSONR 3 FINGER RIGHT HAND,,
ORQUIECTOMÍA,ORCHIECTOMY,G9132,Onc dx prostate mets no cast
CIRUGÍA ARTROSCÓPICA DE HOMBRO .,ARTHROSCOPIC SHOULDER SURGERY.,,
TRATAMIENTO ON LÁSER DE PAPILOMAS,LASER TREATMENT OF PAPILOMAS,S2411,Fetoscop laser ther ttts
RESECCIÓN DE TUMOR TEJIDOS BLANDOS REG CERVICAL,CERVICAL REG SOFT TISSUE TUMOR RESECTION,,
IMPLANTE DE CÉLULAS MADRE EN ODILLA IZQUIERDA .,STEM CELL IMPLANTATION IN LEFT KNEE.,,
BRONCOSCOPIA LAVADO BRONQUIAL,BRONCHOSCOPY BRONCHIAL LAVAGE,C7510,Bronch/lavag w/ navigation
TIMPANOPLASTIA ENDOSCOPICA Y CANALOPLASTIA OD,ENDOSCOPIC TYMPANOPLASTY AND OD CANALOPLASTY,,
CIRUGÍA ONCOLOGICA DE COMPLEJIDDAD MEDIANA,MEDIUM COMPLEXITY ONCOLOGICAL SURGERY,,
PROTOCOLO OVARIO,OVARIAN PROTOCOL,G9116,Onc dx ovarian recurrence
DONANTE HEPATICO,LIVER DONOR,S2053,Transplantation of small int
RESECCION  LESION  EN  CARA,FACE INJURY RESECTION,G9629,Med rsn no rpt bowel inj
CX MANO Y CX UROLOGICA,HAND CX AND UROLOGY CX,,
EVDA + COLONOCOPIA,EVDA + COLONOCOPY,,
TIMPANOPLASTIA + REVISION OIDO MEDIO,TYMPANOPLASTY + MIDDLE EAR REVISION,,
BRONCOSCOPIA,BRONCHOSCOPY,C7510,Bronch/lavag w/ navigation
CIRCUNCISIÓN,CIRCUMCISION,,
RESECCIÓN DE TUMOR POR CRANEOTOMÍA,CRANIOTOMY TUMOR RESECTION,,
"IQ: RESECCION DE CUADRANTE DE MAMA, COLGAJO LOCAL DE PIEL COMPUESTO DE VECINDAD ENTRE CINCO A DIEZ CENTIMETROS CUADRADOS","IQ: BREAST QUADRANT RESECTION, LOCAL SKIN FLAP COMPOSED OF A NEIGHBORHOOD BETWEEN FIVE TO TEN SQUARE CENTIMETERS",,
EVDA + COLONOSCOPIA,EVDA + COLONOSCOPY,G6019,Colonoscopy lesion removal
NEFROLITOTOMIA DERECHA .,RIGHT NEPHROLITHOTOMY.,C1605,"Pmkr, dual, leadless"
PROSTATOTOMÍA.,PROSTATOTOMY.,,
"IQ: RESECCIÓN DE TUMOR MALIGNO DE FASCIA .MÚSCULO . TENDON O SINOVIAL, ...","IQ: RESECTION OF MALIGNANT TUMOR OF FASCIA. MUSCLE. TENDON OR SYNOVIAL, ...",,
SEPTOTURBINOPLASTIA .,SEPTOTURBINOPLASTY.,,
"COLONOSCOIA , EVDA .","COLONOSCOIA, EVDA.",,
BIOPSIA HEPATICA,LIVER BIOPSY,S2053,Transplantation of small int
ECOENDOSCOPIA + BIOPSIA DE PANCREAS .,ECOENDOSCOPY + PANCREAS BIOPSY.,,
"IQ: COLPORRAFIA POSTERIOR, COLPORRAFIA ANTERIOR CON PLASTIA O REPARACIÓN DE URETROCELE","IQ: POSTERIOR COLPORRHAPHY, ANTERIOR COLPORRHAPHY WITH URETHROCELE PLASTY OR REPAIR",,
ARTROSCOPIA HOMBRO IZQUIERDO,LEFT SHOULDER ARTHRSCOPY,G8395,Lvef>=40% doc normal or mild
RECONSTRUCCION PIERNA IZQUIERDA,LEFT LEG RECONSTRUCTION,G8395,Lvef>=40% doc normal or mild
ADENOIDECTOMIA + TURBINOPLASTIA,ADENOIDECTOMY + TURBINOPLASTY,,
OSTEOSINTESIS CON PLACA,OSTEOSYNTHESIS WITH PLATE,,
IQ: RESECCION DE TUMOR BENIGNO EN TARSIANOS O METATARSIANOS,IQ: RESECTION OF BENIGN TUMORS IN TARSIANS OR METATARSIANS,,
VITRECTMIA + FIJACIO´N ESCLERAL.,VITRECTMY + SCLERAL FIXATION.,,
CORRECCIÓN DE HIPOSPADIAS .,CORRECTION OF HYPOSPADIAS.,S0596,Phakic iol refractive error
RESECCION DE CATARATA OJO DERECHO,RIGHT EYE CATARACT RESECTION,,
"RMN HOMBRO, CUELLO","MRI SHOULDER, NECK",G9554,Ct/cta/mri/a chst foll rec
IQ: RESECCION ABDOMINOPERINEAL LAPAROSCOPICA,IQ: LAPAROSCOPIC ABDOMINOPERINEAL RESECTION,,
"QUIMIO INTRATECAL ,PL","INTRATHECAL CHEMIO,PL",J0476,Baclofen intrathecal trial
"COLELAP , BIOPSIA DE HÍGADO .","COLELAP, LIVER BIOPSY.",,
TTO ODONTOLOGICO,DENTISTRY TTO,G0067,Dentistry ss
DECOMPRESIÓN DE NERVIO EN TUNEL DEL CARPO,NERVE DECOMPRESSION IN CARPAL TUNNEL,,
TERAPIA ENDOVASCULAR,ENDOVASCULAR THERAPY,C1888,Endovas non-cardiac abl cath
RMN COLUMNA LUMBAR,LUMBAR SPINE MRI,G9945,Pt w/cancer scoliosis
"RESECCIÓN Y COLGAJO, RESECCION TOTAL DE ORBITA","RESECTION AND FLAP, TOTAL ORBIT RESECTION",,
ARTROSCOPIA DE RODILLA .,KNEE ARTHRSCOPY.,L2182,Drop lock knee
ENDOSCOPIA MAS PH METRIA,ENDOSCOPY PLUS PH METRIA,,
BIOPSIA HUESO,BONE BIOPSY,G0364,Bone marrow aspirate &biopsy
COLANGIOGRAFIA TRANSPARIETOHEPATIC A,TRANSPARIETOHEPATIC CHOLANGIOGRAPHY,C7545,Exch bil cath w/ rmv calculi
RMN  COLUMNA LUMBO SACRA,LUMBO SACRAL SPINE MRI,,
IQ: URETROTOMIA INTERNA ENDOSCOPICA,IQ: ENDOSCOPIC INTERNAL URETHROMTOMY,,
LIBERACION,RELEASE,J7512,Prednisone ir or dr oral 1mg
IQ: EXTRACCION DE CUERPO EXTRAÑO INTRAUTERINO POR HISTEROSCOPIA,IQ: INTRAUTERINE FOREIGN BODY REMOVAL BY HYSTEROSCOPY,,
HERNIORRAFIA INGUINAL POR LAPAROSCOPIA,INGUINAL HERNIORRHAPHY BY LAPAROSCOPY,,
RESECCION TUMOR PIERNA DERECHA,RIGHT LEG TUMOR RESECTION,,
RETIRO MATERIAL OTS PIERNA IZQUIERDA,LEFT LEG OTS MATERIAL REMOVAL,,
RESECCION/COLGAJO/GANGLIO CENTINELA AXILAR,RESECTION/FLAP/AXILLARY SENTINEL GANGLION,,
LIGADURA VARICES ESOFAGCAS,ESOPHAGEAL VARICOSE LIGATION,A0396,Als esophageal intub suppls
HISTEROSCOPIA Y ESECCION DE PÓLKIPO,HYSTEROSCOPY AND POLKYPO EXECTION,,
RESECCION Y RECONSTRUCCION CON MENBRANA AMNIOTICA,RESECTION AND RECONSTRUCTION WITH AMNIOTIC MEMBRANE,,
HERNIORRAFIA UMBILICAL.,UMBILICAL HERNIORRHAPHY.,S2150,Bmt harv/transpl 28d pkg
CUADRANTECTOMIA MAMA DERECHA,RIGHT BREAST QUADRANTECTOMY,C1605,"Pmkr, dual, leadless"
"IQ: ADENOIDECTOMIA VIA ABIERTA, AMIGDALECTOMIA VIA ABIERTA","IQ: OPEN WAY ADENOIDECTOMY, OPEN WAY TONSILLECTOMY",,
CIRUGÍA DE MOHS .,MOHS SURGERY.,G9643,Elective surgery
"DESCOMPRESIÓN ORBITARIA Y TOMA DE BIOPSIAS,","ORBITAL DECOMPRESSION AND TAKING BIOPSIES,",,
REDUCCION ABIERTA PIE DER Y OTS,OPEN REDUCTION RIGHT FOOT AND OTS,,
HEMIMAXILECTOMIA IZQ+ COLGAJO TEMPORAL + PAROTIDECTOMIA DERECHA,LEFT HEMIMAXILECTOMY + TEMPORARY FLAP + RIGHT PAROTIDECTOMY,,
RESECCION DE GANGLION DORSAL DE MUÑECA IZQUEIRDA,DORSAL GANGLION RESECTION OF LEFT WRIST,,
RMN DE HIPÓFISIS .,PITUITARY MRI.,C8937,Cad breast mri
"RECONSTRUCCION DE ORBITA DERECHA, REDUCCION ABIERTA DE FX MALAR","RIGHT ORBIT RECONSTRUCTION, OPEN MALAR FX REDUCTION",,
REVISION MAS TENOTOMIAS,REVIEW MORE TENOTOMIAS,G0459,Telehealth inpt pharm mgmt
CIRUGIA ESTEREOTAXICA,STEREOTAXIC SURGERY,G9643,Elective surgery
SIMPATECTOMÍA TORÁCICA .,THORACIC SYMPATECTOMY.,L2660,Thoracic control thoracic ba
RMN ABDOMEN Y PELVIS.,MRI ABDOMEN AND PELVIS.,,
"AMIGDALECTOMIA, TURBINOPLASTIA","TONSILLECTOMY, TURBINOPLASTY",,
DESTECHAMIENTO POR LAPAROSCOPIA,REMOVAL BY LAPAROSCOPY,S0630,Removal of sutures
HISTERECTOMÍ POR LAPAROSCOPIA,LAPAROSCOPY HYSTERECTOMY,G0342,Laparoscopy islet cell trans
TIMPANOPLASTIA,TYMPANOPLASTY,,
"COLONOSCOPIA , EVDA .","COLONOSCOPY, EVDA.",G6019,Colonoscopy lesion removal
TURBINOPLASTIA Y ADENOIDECTOMIA,TURBINOPLASTY AND ADENOIDECTOMY,,
ECOMPESION NERVIO EN TUNEL DEL CARPO,NERVE ECOMPESION IN CARPAL TUNNEL,,
ECOENDOSCOPIA DE ESOFAGO,ESOPHAGEAL ECOENDOSCOPY,A0396,Als esophageal intub suppls
HERNIORRAFIA UMBILICAL .,UMBILICAL HERNIORRHAPHY.,S2150,Bmt harv/transpl 28d pkg
COLECISTECTOMIA POR LAPAROSCOPIA,CHOLECYSTECTOMY BY LAPAROSCOPY,,
DECOMPRESION ENDOSCOPICA TUNEL DEL CARPO MANO IZQDA,LEFT HAND CARPAL TUNNEL ENDOSCOPIC DECOMPRESSION,,
RESECCIÓN DE TUMO DE OVARIO POR LAPAROSOCPI .,OVARIAN TUMO RESECTION BY LAPAROSOCPI.,,
RETIRO MATERIAL OST ANTEBRAZO DERECHO Y CX ORTOPEDICA,RIGHT FOREARM OST MATERIAL REMOVAL AND ORTHOPEDIC CX,,
RESECIÓN PARCIAL DE COSTILLAS 7 Y 8 .,PARTIAL RESECTION OF RIBS 7 AND 8.,,
REEMPLAZO DE RODILLA DERECHA .,RIGHT KNEE REPLACEMENT.,G9502,Med reas no perf foot exam
CORRECCION QCA LABIO,QCA LIP CORRECTION,,
SAFENOVARICECTOMIA MII,SAFENOVARICECTOMY MII,,
HEMITIROIDECOTMIA + CONGELACION,HEMITYROIDECOTMIA + FREEZING,M0100,Intragastric hypothermia
"IQ: SUTURA DE MENISCO MEDIAL O LATERAL POR ARTROSCOPIA, ...","IQ: MEDIAL OR LATERAL MENISCUS SUTURE BY ARTHROSCOPY, ...",,
HISTEROSCOPIA MAS BIOPSIA,HYSTEROSCOPY PLUS BIOPSY,G9823,Endo smpl/hyst bx res doc
RETIRO MATERIAL OTS,OTS MATERIAL REMOVAL,L1653,Ho abduction static ots
HISTERECTOMÍA,HYSTERECTOMY,G9774,Pt had hyst
OOFORECTOMIA POR LAPAROSCOPIA,OOPHORECTOMY BY LAPAROSCOPY,,
CORRECCIÓN QUIRÚRGICA DE ESCOLIOSIS .,SURGICAL CORRECTION OF SCOLIOSIS.,,
CUADRANTECTOMÍA MAMA DERECHA,RIGHT BREAST QUADRANTECTOMY,C1605,"Pmkr, dual, leadless"
TENOSINIVECTOMIA DE FLEXORES DE 4 DEDO,TENOSINIVECTOMY OF 4 FINGER FLEXORS,,
REDUCCIÓN ABIERTA DE FRACTURA DE ESCAFOIDES IZQUIERDO,OPEN REDUCTION OF LEFT SCAPHOID FRACTURE,,
"IQ: RETROINSERCION DE MUSCULOS OBLICUOS, RESECCION DE MUSCULOS RECTOS, RETROINSERCION DE MUSCULOS RECTOS","IQ: RETROINSERTION OF OBLIQUE MUSCLES, RESECTION OF RECTUS MUSCLES, RETROINSERTION OF RECTUS MUSCLES",,
CORRECCION PIE DERECHO,RIGHT FOOT CORRECTION,G9502,Med reas no perf foot exam
RESECCIÓN DE TUMOR EN ESPALDA .,BACK TUMOR RESECTION.,E0982,"Back upholstery, replacement"
ESFINTEROTOMIA ANAL .,ANAL SPHINTEROTOMY.,L8605,Inj bulking agent anal canal
CIRUGÍA DE CORRECCIÓN DE ESTRABISMO,STRABISMUS CORRECTION SURGERY,,
CIRCUNSICIÓN,CIRCUMSITION,,
COLONOSCOPIA TOTAL.,TOTAL COLONOSCOPY.,S2118,Total hip resurfacing
LIBERACIONA,RELEASE,J7512,Prednisone ir or dr oral 1mg
CIRUGIA ENDOSCOPIA DE SPN.,SPN ENDOSCOPY SURGERY.,S2342,Nasal endoscop po debrid
CX ORTOPEDICA PIE IZQUIERDO,CX ORTHOPEDIC LEFT FOOT,,
RECONSTRUCCION PÁRPADO INFERIOR IZQUIERDO,LEFT LOWER EYELID RECONSTRUCTION,,
RESECCION + FRESADO,RESECTION + MILLING,G9613,Doc post surg anatomy
MASA EN MANO IZQUIERDA .,MASS IN LEFT HAND.,,
TRATAMIENTO ODONTOLOGICO.,DENTAL TREATMENT.,G0330,Facility svs dental rehab
HERNIORRAFIA INGUINAL IZQUIERDA POR LAPAROSCOPIA .,LEFT INGUINAL HERNIORRHAPHY BY LAPAROSCOPY.,,
ESCICIOON DE DISCO INTERVERTEBRAL,INTERVERTEBRAL DISC EXCITION,S2348,Decompress disc rf lumbar
RESECCION GANGLION MUÑECA DERECHA.,RIGHT WRIST GANGLION RESECTION.,,
CUADRANTECTOMIA MAMA IZQUIERDA .,LEFT BREAST QUADRANTECTOMY.,G8395,Lvef>=40% doc normal or mild
CIERRE DE ILEOSTOMIA,ILEOSTOMY CLOSURE,C1760,"Closure dev, vasc"
HISTEOSCOPIA,HYSTEOSCOPY,,
SIMPATECTOMIA TORACOSCOPICA BILATERAL,BILATERAL THORACOSCOPIC SYMPATECTOMY,L1690,Combination bilateral ho
REECCION,REECTION,,
HISTEROSCOPIA + BIOPSIA,HYSTEROSCOPY + BIOPSY,G9823,Endo smpl/hyst bx res doc
OCLUSION ENDOVASCULAR,ENDOVASCULAR OCCLUSION,C7515,Cath/angio dial cir w/embol
RESECCION LESION LENGUA,TONGUE INJURY RESECTION,G9629,Med rsn no rpt bowel inj
RSECCION DE NEUROMA CUARTO DEDO MANO IZQUIERDA.,RECTION OF NEUROMA OF THE FOURTH FINGER OF THE LEFT HAND.,,
PANANGIOGRAFIA CEREBRAL,CEREBRAL PANANGIOGRAPHY,,
RTU DE CUELLO VESICAL,BLADDER NECK TUR,A4355,Bladder irrigation tubing
RMN ABDOMEN,ABDOMEN MRI,A4358,Urinary leg or abdomen bag
RESECCION ENDOSCOPICA DE LESION EN CUERDA VOCAL DERECHA.,ENDOSCOPIC RESECTION OF RIGHT VOCAL CORD LESION.,,
CORRECCION PIE EQUINO VARO IZQ,CORRECTION OF LEFT VARUUS FOOT,,
FACO  MAS LIO,PHACO MORE LIO,,
"ENDOSCOPIA , COLONOSCOPIA .","ENDOSCOPY, COLONOSCOPY.",C9779,Esd endoscopy or colonoscopy
CX MOHS RECONSTRUCCION,CX MOHS RECONSTRUCTION,G9424,Site no lung or lung cx
RESECCIÓN DE PTERIGION .,PTERYGION RESECTION.,G9613,Doc post surg anatomy
RETIRO DE MTERIAL DE OTS .,OTS MTERIAL REMOVAL.,L1653,Ho abduction static ots
CUADRANTECTOMÍA IZQUIERDA + VACIAMIENTO,LEFT QUADRANTECTOMY + EMPTYING,G8395,Lvef>=40% doc normal or mild
MASTECTOMIA RADICAL,RADICAL MASTECTOMY,L8000,Mastectomy bra
TIRIDECTOMIA TOTAL,TOTAL THYRIDECTOMY,S2118,Total hip resurfacing
CX ORTOPEDICA MANO DERECHA,CX ORTHOPEDIC RIGHT HAND,,
ARTROSCOPIA DE HOMBRO IZQUIERDO,LEFT SHOULDER ARTHRSCOPY,G8395,Lvef>=40% doc normal or mild
MIOMECTOMIA,MYOMECTOMY,,
