input_es,input_en,icd11_code,icd11_title,icd11_uri,icd10cm_code,icd10cm_term
CA DE MAMA IZQUIERDA .,LEFT BREAST CA.,,,,S20.112S,"Abrasion of breast, left breast, sequela"
TUMOR DE LÓBULO INFERIOR IZQUIERDO,LEFT LOWER LOBE TUMOR,,,,C34.32,"Malignant neoplasm of lower lobe, left bronchus or lung"
", RGE",", RGE",,,,,
ESTENOSIS SUBGLÓTICA CORREGIDA,CORRECTED SUBGLOTTIC STENOSIS,,,,J95.5,Postprocedural subglottic stenosis
FÍSTULA DE LCR .,CSF FISTULA.,,,,N32.1,Vesicointestinal fistula
DISPEPSIA .,DYSPEPSIA.,,,,K30,Functional dyspepsia
VARICOCELE,VARICOCELE,,,,,
OBSTRUCCIÓN DE VIAS BILIARES .,BILE TRACT OBSTRUCTION.,,,,K83.1,Obstruction of bile duct
CA MAMA DER,CA MAMA RIGHT,,,,R97.1,Elevated cancer antigen 125 [CA 125]
CBC NODULAR DORSO Y APEX NASAL,DORSO NODULAR CBC AND NASAL APEX,,,,C81.19,"Nodular sclerosis Hodgkin lymphoma, extranodal and solid organ sites"
MEDULOBLASTOMA,MEDULOBLASTOMA,,,,,
TUMOR MAMA IZQUIERDO,LEFT BREAST TUMOR,,,,S20.112S,"Abrasion of breast, left breast, sequela"
EMBZO TERMINO/G1PO,EMBZO TERMINO/G1PO,,,,D80.3,Selective deficiency of immunoglobulin G [IgG] subclasses
TENOSINOVITIS MANO DERECHA,RIGHT HAND TENOSYNOVITIS,,,,M65.141,"Other infective (teno)synovitis, right hand"
HUD,hud,,,,,
COJERA,LIMP,,,,,
ESTRABISMO AMBOS OJOS,STRABISMUS BOTH EYES,,,,H54.3,"Unqualified visual loss, both eyes"
RESECCIÓN DE TUMOR EN TEJIDOS BLANDOS REG CERVICAL,CERVICAL REG SOFT TISSUE TUMOR RESECTION,,,,M99.41,Connective tissue stenosis of neural canal of cervical region
LESIÓN DE MANGUITO ROTADOR,ROTATOR Cuff INJURY,,,,S46.001S,"Unspecified injury of muscle(s) and tendon(s) of the rotator cuff of right shoulder, sequela"
RUPTURA L. TRIANGULAR MANO DERECHA,L. TRIANGULAR RUPTURE RIGHT HAND,,,,M66.141,"Rupture of synovium, right hand"
RUPTURA MENISCO RODILLA IZQUIERDA,LEFT KNEE MENISCUS RUPTURE,,,,M23.007,"Cystic meniscus, unspecified meniscus, left knee"
PROTESIS MAMARIAS,BREAST PROSTHESIS,,,,Z44.30,"Encounter for fitting and adjustment of external breast prosthesis, unspecified breast"
TUMOR ANEXIAL DERECHO,RIGHT ANNEXAL TUMOR,,,,M94.271,"Chondromalacia, right ankle and joints of right foot"
RGE TRAST. DEGLUCIÓN,RGE TRAST. SWALLOWING,,,,,
FRACTURA EN TIBIA IZQUIERDA .,FRACTURE IN LEFT TIBIA.,,,,M84.562S,"Pathological fracture in neoplastic disease, left tibia, sequela"
DEFORMIDAD TIBIA POST-TRAUMA,POST-TRAUMA TIBIA DEFORMITY,,,,M87.261,"Osteonecrosis due to previous trauma, right tibia"
SD DE PRADER WILLY,SD DE PRADER WILLY,,,,Q87.11,Prader-Willi syndrome
ESTENOSIS DE VÍA BILIAR,BILIARY duct stenosis,,,,H04.551,Acquired stenosis of right nasolacrimal duct
TUMOR CEREBRAL,BRAIN TUMOR,,,,G93.82,Brain death
CA ESCAMOCELULAR EN PÁRPADO IZQUIERDO,SQUAMOCELLULAR CA IN LEFT EYELID,,,,H02.814,Retained foreign body in left upper eyelid
ESCOLIOSIS,SCOLIOSIS,,,,M41.9,"Scoliosis, unspecified"
ENCEFALOPATÍA NECROTIZANTE AGUDA .,ACUTE NECROTIZING ENCEPHALOPATHY.,,,,G04.30,"Acute necrotizing hemorrhagic encephalopathy, unspecified"
SANGRADO RECTAL,RECTAL BLEEDING,,,,K50.911,"Crohn's disease, unspecified, with rectal bleeding"
PAPILOMATOSIS LARÍNGEA,LARYNGEAL PAPILLOMATOSIS,,,,A36.2,Laryngeal diphtheria
ESTREÑIMIENTO CRÓNICO,CHRONIC CONSTIPATION,,,,K59.04,Chronic idiopathic constipation
LEIMIOMA,LEIMIOMA,,,,,
TUMOR PIE DERECHO,RIGHT FOOT TUMOR,,,,M21.371,"Foot drop, right foot"
TUMOR PARED TORAX,CHEST WALL TUMOR,,,,D48.111,Desmoid tumor of chest wall
REFLUJO,REFLUX,,,,N13.71,Vesicoureteral-reflux without reflux nephropathy
LUXACION HOMBRO IZQ,LEFT SHOULDER DISLOCATION,,,,M24.412,"Recurrent dislocation, left shoulder"
POP OST FX M SUP IZQ,POP OST FX M TOP LEFT,,,,G57.30,"Lesion of lateral popliteal nerve, unspecified lower limb"
LESION MENISCOS,MENISCUS INJURY,,,,S83.203S,"Other tear of unspecified meniscus, current injury, right knee, sequela"
CATARATA OI,OI CATARACT,,,,J69.1,Pneumonitis due to inhalation of oils and essences
MIOMATOSIS UTERINA .,UTERINE MYOMATOSIS.,,,,O62.1,Secondary uterine inertia
FRACTURA ANTIGUA DE FEMUR,OLD FEMUR FRACTURE,,,,M84.351S,"Stress fracture, right femur, sequela"
CATARATA OD,CATARACT OD,,,,H26.9,Unspecified cataract
DIARREA C´NICA,CHINESE DIARRHEA,,,,K59.1,Functional diarrhea
ARTROSIS DE RODILLA,KNEE ARTHROSIS,,,,M23.40,"Loose body in knee, unspecified knee"
PAPILOMA LARINGEO .,LARYNGEAL PAPILLOMA.,,,,A36.2,Laryngeal diphtheria
SÍNCOPE,SYNCOPE,,,,R05.4,Cough syncope
GRANULOMA SUBGLÓTICO,SUBGLOTTIC GRANULOMA,,,,J95.5,Postprocedural subglottic stenosis
PT SANO,PT SANO,,,,D47.Z1,Post-transplant lymphoproliferative disorder (PTLD)
"LESION MANO IZQ , MAS INCONTINENCIA URINARIA","LEFT HAND INJURY, MORE URINARY INCONTINENCE",,,,S67.22XS,"Crushing injury of left hand, sequela"
FRACTURA DISTAL RADIO,DISTAL RADIUS FRACTURE,,,,M89.131,"Complete physeal arrest, right distal radius"
POLIPO CUERDA VOCAL,VOCAL CORD POLYP,,,,J38.1,Polyp of vocal cord and larynx
TRAUMA MANO DERECHA,RIGHT HAND TRAUMA,,,,M87.241,"Osteonecrosis due to previous trauma, right hand"
H UMBILICAL,H UMBILICAL,,,,T47.0X6S,"Underdosing of histamine H2-receptor blockers, sequela"
TUMOR MAMA IZQ,LEFT BREAST TUMOR,,,,S20.112S,"Abrasion of breast, left breast, sequela"
DOLOR ABDOMINAL LOCALIZADO EN PARTE SUPE,ABDOMINAL PAIN LOCATED IN THE UPPER PART,,,,R10.10,"Upper abdominal pain, unspecified"
ESPOONDIITIS ANQUILOSANTE,ANKYLOSING SPOONDIITIS,,,,M08.1,Juvenile ankylosing spondylitis
EMBARAZO A TERMINO,TERMINATE PREGNANCY,,,,O00.00,Abdominal pregnancy without intrauterine pregnancy
DEDO EN MARTILLO PIE DERECHO,HAMMER TOE RIGHT FOOT,,,,M20.41,"Other hammer toe(s) (acquired), right foot"
DOLOR LUMBAR,LOWER PAIN,,,,R10.30,"Lower abdominal pain, unspecified"
QUISTE EN CABEZA DE PÁNCREAS.,CYST IN HEAD OF PANCREAS.,,,,K86.2,Cyst of pancreas
"DESIACIÓN DE TABIQUE , HIPERTROFIA DE ORNETES .","SEPTUM DESIATION, ORNET HYPERTROPHY.",,,,J34.2,Deviated nasal septum
LESIÓN DE EXTENSOR DE 3 DEDO MANO DERECHA,RIGHT HAND 3 FINGER EXTENSOR INJURY,,,,S66.300S,"Unspecified injury of extensor muscle, fascia and tendon of right index finger at wrist and hand level, sequela"
CONDOMATOSIS,CONDOMATOSIS,,,,,
ESTENOSIS DE CONDUCTOS BILIARES .,BILE DUCT STENOSIS.,,,,C22.1,Intrahepatic bile duct carcinoma
PTE SANA,HEALTHY PTE,,,,Z76.3,Healthy person accompanying sick person
QUISTE ÓSEO DE CLAVICULA DERECHA,BONE CYST OF RIGHT CLAVICLE,,,,M85.611,"Other cyst of bone, right shoulder"
MASA SUBMAXILAR,SUBMAXILLARY MASS,,,,R19.05,"Periumbilic swelling, mass or lump"
LESIÓN DE HOMBRO IZQUIERDO,LEFT SHOULDER INJURY,,,,S40.912S,"Unspecified superficial injury of left shoulder, sequela"
FRACTURA DE LA EPIFISIS INFERIOR DE LA T,FRACTURE OF THE LOWER EPIPHYSIS OF THE T,,,,S52.501S,"Unspecified fracture of the lower end of right radius, sequela"
HIPERTROFIA DE LAS ADENOIDES,HYPERTROPHY OF THE ADENOIDS,,,,J35.2,Hypertrophy of adenoids
REFLUJO Y ESTREÑIMIENTO,REFLUX AND CONSTIPATION,,,,N13.8,Other obstructive and reflux uropathy
HIDROCELE,HYDROCELE,,,,N43.0,Encysted hydrocele
HIPERTROFIA ADENOIDES AMIGDALAS,TONSIL ADENOID HYPERTROPHY,,,,D10.4,Benign neoplasm of tonsil
TUMNOR RECTO,STRAIGHT TUMNOR,,,,,
CARATAS AMBIOS OJOS,FACES BIG EYES,,,,H54.3,"Unqualified visual loss, both eyes"
BALANITIS,BALANITIS,,,,N48.1,Balanitis
LESIONES EN PIEL,SKIN INJURIES,,,,D86.3,Sarcoidosis of skin
TOS ESTUDIO,COUGH STUDY,,,,R05.1,Acute cough
TRAUMA MAXILOFACIAL,MAXILLOFACIAL TRAUMA,,,,K08.81,Primary occlusal trauma
VOMITO,VOMIT,,,,J69.0,Pneumonitis due to inhalation of food and vomit
SD. CONVULSIVO,SD. CONVULSIVE,,,,,
OBSTRUCCION DEL CUELLO DE LA VEJIGA,BLADDER NECK OBSTRUCTION,,,,N32.0,Bladder-neck obstruction
POP LESION HOMBRO IZQUIERDO,POP LEFT SHOULDER INJURY,,,,S40.912S,"Unspecified superficial injury of left shoulder, sequela"
LESION  NODULAR,NODULAR LESION,,,,H15.123,"Nodular episcleritis, bilateral"
HIPERTROFIA DE ADENOIDES Y CORNETES,HYPERTROPHY OF ADENOIDS AND CORNETS,,,,J35.2,Hypertrophy of adenoids
TUNOR PIERNA DERECHA,TUNOR RIGHT LEG,,,,M76.61,"Achilles tendinitis, right leg"
POP PROSTATECTOMIA  ABIERTA,POP OPEN PROSTATECTOMY,,,,G57.30,"Lesion of lateral popliteal nerve, unspecified lower limb"
HEPATITIS  AUTOINMUNE,AUTOIMMUNE HEPATITIS,,,,K75.4,Autoimmune hepatitis
LESION HOMBRO IZQUIERDO,LEFT SHOULDER INJURY,,,,S40.912S,"Unspecified superficial injury of left shoulder, sequela"
TUMOR  M INF IZQ,TUMOR M BOTTOM LEFT,,,,D48.112,"Desmoid tumor, intrathoracic"
DESPLAZAMIENTO Y COLAPSO DE  FRACTURA,FRACTURE DISPLACEMENT AND COLLAPSE,,,,M84.339A,"Stress fracture, unspecified ulna and radius, initial encounter for fracture"
SINEQUIA UTERINA,UTERINE SYNECHIA,,,,O62.1,Secondary uterine inertia
INSUFICIENCIA VENOSA GII,GII VENOUS INSUFFICIENCY,,,,I87.2,Venous insufficiency (chronic) (peripheral)
TUMOR BRAZO IZDO,LEFT ARM TUMOR,,,,M79.602,Pain in left arm
RE FRACTURA CLAVICULA DR,RE CLAVICLE FRACTURE DR,,,,P13.4,Fracture of clavicle due to birth injury
"FISURA ANAL , FÍSTULA ANAL .","ANAL FISSURE, ANAL FISTULA.",,,,K60.0,Acute anal fissure
MANGUITO ROTADOR HOMBRO IZQUIERDO,LEFT SHOULDER ROTATOR CUFF,,,,M75.102,"Unspecified rotator cuff tear or rupture of left shoulder, not specified as traumatic"
CA DE MAMA DERECHA,CA OF RIGHT BREAST,,,,S20.111S,"Abrasion of breast, right breast, sequela"
MASA PARPADO INFERIOR IZQUIERDA,LEFT LOWER EYELID MASS,,,,H02.535,Eyelid retraction left lower eyelid
EMBARAZO DE LATO RIESGO,HIGH RISK PREGNANCY,,,,O09.90,"Supervision of high risk pregnancy, unspecified, unspecified trimester"
CA DE MAMA .,MAMA'S CA.,,,,M20.099,"Other deformity of finger(s), unspecified finger(s)"
HIPOSPADIAS .,HYPOSPADIAS.,,,,Q54.0,"Hypospadias, balanic"
ESTRABISMO .,STRABISMUS.,,,,H50.9,Unspecified strabismus
GANGLION DORSAL DE MUÑECA IZUIQERDA,DORSAL GANGLION OF LEFT WRIST,,,,S95.012S,"Laceration of dorsal artery of left foot, sequela"
SD TUNEL DEL CARPO MANO DERECHA,SD RIGHT HAND CARPAL TUNNEL,,,,M92.211,"Osteochondrosis (juvenile) of carpal lunate [Kienbock], right hand"
DOLOR HOMBRO,SHOULDER PAIN,,,,M25.511,Pain in right shoulder
LESION DE TENDONES TOBILLO DERECHO,RIGHT ANKLE TENDON INJURY,,,,S96.201S,"Unspecified injury of intrinsic muscle and tendon at ankle and foot level, right foot, sequela"
SD DEL TUNEL DEL CARPO,CARPAL TUNNEL SD,,,,G56.00,"Carpal tunnel syndrome, unspecified upper limb"
TUMOR MANO IZQUIERDA .,LEFT HAND TUMOR.,,,,T69.012S,"Immersion hand, left hand, sequela"
HIPERHIDROSIS PALMOPLANTAR,PALMOPLANTAR HYPERHYDROSIS,,,,,
LESIÓN TUMORAL COSTILLAS,RIB TUMORAL LESION,,,,Q76.5,Cervical rib
HEMANGIOMA SUBLINGUAL,SUBLINGUAL HEMANGIOMA,,,,I86.0,Sublingual varices
GANGLION MANO,HAND GANGLION,,,,M67.441,"Ganglion, right hand"
POP CADERA IZQ,LEFT HIP POP,,,,M70.72,"Other bursitis of hip, left hip"
ILEOSTOMIA,ILEOSTOMY,,,,Z93.2,Ileostomy status
NODULO TIROIDEO,THYROID NODULE,,,,E04.1,Nontoxic single thyroid nodule
EPILEPSIA,EPILEPSY,,,,G40.803,"Other epilepsy, intractable, with status epilepticus"
ATERIALE DE OST,OST ATERIAL,,,,A01.05,Typhoid osteomyelitis
SDME TUNEL CARPIANO,SDME CARPAL TUNNEL,,,,G56.00,"Carpal tunnel syndrome, unspecified upper limb"
LESION MENISCAL,MENISCAL INJURY,,,,P15.2,Sternomastoid injury due to birth injury
TENOSINOVITIS,TENOSYNOVITIS,,,,M65.4,Radial styloid tenosynovitis [de Quervain]
LESIÓN DE MENISCO,MENISCUS INJURY,,,,S83.203S,"Other tear of unspecified meniscus, current injury, right knee, sequela"
TUMOR EN TESTÍCULO,TUMOR IN TESTICLE,,,,D48.112,"Desmoid tumor, intrathoracic"
SANGRADO UTERINO ANORMAL .,ABNORMAL UTERINE BLEEDING.,,,,N93.9,"Abnormal uterine and vaginal bleeding, unspecified"
HIPERPLASIA DE ENDOMETRIO,ENDOMETRIAL HYPERPLASIA,,,,N85.00,"Endometrial hyperplasia, unspecified"
FISURA ANAL,ANAL FISSURE,,,,K60.0,Acute anal fissure
"OTITS MEDIA CRÓNICA, OTOSCLEROSIS .","CHRONIC OTITS MEDIA, OTOSCLEROSIS.",,,,H65.23,"Chronic serous otitis media, bilateral"
TUMOR PALADAR,PALATE TUMOR,,,,Q35.5,Cleft hard palate with cleft soft palate
TUNEL DEL CARPO IZQDO,LEFT CARPAL TUNNEL,,,,G56.02,"Carpal tunnel syndrome, left upper limb"
DIARREA CRONICA,CHRONIC DIARRHEA,,,,A39.3,Chronic meningococcemia
CA ESCAMOCELL CONJUNTIVA IZQDA,CA ESCAMOCELL LEFT CONJUNCTIVA,,,,C69.02,Malignant neoplasm of left conjunctiva
PERFORACION TIMPANICA HIPOACUSIA,TYMPANICAL PERFORATION HYPOACUSIS,,,,K22.3,Perforation of esophagus
POP DEDOS EN MARTILLO BILATERAL,POP FINGERS IN BILATERAL HAMMER,,,,M79.644,Pain in right finger(s)
PIE EQUINO VARO IZQUIERDO,LEFT EQUINUUS VARUUS FOOT,,,,M21.372,"Foot drop, left foot"
ESOFAGUITIS EOSINOFILICA,EOSINOPHILIC ESOPHAGITIS,,,,K20.0,Eosinophilic esophagitis
OSTEOMA OSTEOIDE TIBIA DER,RIGHT TIBIA OSTEOID OSTEOMA,,,,M87.861,"Other osteonecrosis, right tibia"
FX INTRAARTICULAR FALANGE PROXIMAL PIE DER,INTRA-ARTICULAR FX PROXIMAL PHALANGE RIGHT FOOT,,,,M24.174,"Other articular cartilage disorders, right foot"
ENF ACIDO PEPTICA,PEPTICA ACID DISEASE,,,,E54,Ascorbic acid deficiency
TUNEL CARPO MANO DER,RIGHT HAND CARPAL TUNNEL,,,,M92.211,"Osteochondrosis (juvenile) of carpal lunate [Kienbock], right hand"
FX MALEOLO EXT MII,FX MALEOLO EXT MII,,,,A28.2,Extraintestinal yersiniosis
HIPERHIDROSIS MANOS Y AXILAS,HYPERHYDROSIS OF HANDS AND ARMPITS,,,,J34.1,Cyst and mucocele of nose and nasal sinus
TERATOMA SACROCOCCIGEO.,SACROCOCCYGEAL TERATOMA.,,,,M43.08,"Spondylolysis, sacral and sacrococcygeal region"
TOS CRÓNICA,CHRONIC COUGH,,,,R05.3,Chronic cough
POLIPO EN VESÍCULA,BLADDER POLYP,,,,N32.81,Overactive bladder
PTERIGION,PTERYGION,,,,,
CA DE VEJIGA,BLADDER CA,,,,N32.81,Overactive bladder
ESTREÑIMIENTO,CONSTIPATION,,,,K59.00,"Constipation, unspecified"
NEFROLITIASIS DERECHA,RIGHT NEPHROLITHIASIS,,,,M94.271,"Chondromalacia, right ankle and joints of right foot"
ARTROSIS DE ROILLA,ROLL ARTHROSIS,,,,V00.01XA,"Pedestrian on foot injured in collision with roller-skater, initial encounter"
CA DE TIROIDES .,THYROID CA.,,,,A18.81,Tuberculosis of thyroid gland
OSTEOMIELITIS CODO,ELBOW OSTEOMYELITIS,,,,S53.031S,"Nursemaid's elbow, right elbow, sequela"
TERATOMA EN OVARIO DERECHO,TERATOMA IN THE RIGHT OVARY,,,,N63.10,"Unspecified lump in the right breast, unspecified quadrant"
PROLAPSO GENITAL,GENITAL PROLAPSE,,,,N81.89,Other female genital prolapse
LESIÓN ANEXIAL DERECHA,RIGHT ANNEXAL INJURY,,,,S35.511S,"Injury of right iliac artery, sequela"
LESION OJO IZQUIERDO,LEFT EYE INJURY,,,,S04.012S,"Injury of optic nerve, left eye, sequela"
TALLA EN P10,SIZE IN P10,,,,M26.00,Unspecified anomaly of jaw size
LESION MENISCO RODILLA DERECHA,RIGHT KNEE MENISCUS INJURY,,,,S83.203S,"Other tear of unspecified meniscus, current injury, right knee, sequela"
TRAUMA SEVERO OJO IZQUIERDO,SEVERE LEFT EYE TRAUMA,,,,H40.32X3,"Glaucoma secondary to eye trauma, left eye, severe stage"
SD ARNOLD CHIARI,SD ARNOLD CHIARI,,,,Q07.02,Arnold-Chiari syndrome with hydrocephalus
ADENOSIS MICRGLANDULAR,MICRGLANDULAR ADENOSIS,,,,,
TRAUMA  OCULAR,EYE TRAUMA,,,,H40.30X0,"Glaucoma secondary to eye trauma, unspecified eye, stage unspecified"
GLAUCOMA CONGENITA,CONGENITAL GLAUCOMA,,,,Q15.0,Congenital glaucoma
"MIOMATOSIS , CISTOPEXIA .","MYOMATOSIS, CYSTOPEXY.",,,,,
LLA,LLA,,,,,
TUMOR DESMOIDES .,DESMOID TUMOR.,,,,D48.112,"Desmoid tumor, intrathoracic"
SECELAS DOLOROSAS DE TRAUMA DE TOBILLO,PAINFUL SECELATIONS OF ANKLE TRAUMA,,,,S90.571S,"Other superficial bite of ankle, right ankle, sequela"
SD ROBINOW .,SD ROBINOW.,,,,,
TRAUMA DE RODILLA,KNEE TRAUMA,,,,M23.40,"Loose body in knee, unspecified knee"
REFLUJO GASTROESOFAGICO .,GASTROESOPHAGEAL REFLUX.,,,,K21.9,Gastro-esophageal reflux disease without esophagitis
CA BASOCELULAR,BASIC CELLULAR CA,,,,Z58.81,Basic services unavailable in physical environment
HERNIA INGUINAL IZQUIERDA .,LEFT INGUINAL HERNIA.,,,,N83.42,Prolapse and hernia of left ovary and fallopian tube
INCONINENCIA URINARIA,URINARY INCONINENCE,,,,N20.9,"Urinary calculus, unspecified"
FRACTURA DE V METACARPIANO MANO DER,FRACTURE OF V METACARPAL RIGHT HAND,,,,S62.201S,"Unspecified fracture of first metacarpal bone, right hand, sequela"
FRACTURA DE ESCAFOIDES MANO IZQUIERDA,LEFT HAND SCAPHOID FRACTURE,,,,M84.342S,"Stress fracture, left hand, sequela"
MIELOMA MULTIPLE,MULTIPLE MYELOMA,,,,C90.01,Multiple myeloma in remission
REFLUJO GASTROESIFÁGICO,GASTROESYPHAGEAL REFLUX,,,,N13.71,Vesicoureteral-reflux without reflux nephropathy
SINUSITIS CRONICA.,CHRONIC SINUSITIS.,,,,J32.0,Chronic maxillary sinusitis
DISPOSITIVO INTRAUTERINO,INTRAUTERINE DEVICE,,,,Z97.5,Presence of (intrauterine) contraceptive device
TUNEL CARPIANO MANO DERECHA,RIGHT HAND CARPAL TUNNEL,,,,M92.211,"Osteochondrosis (juvenile) of carpal lunate [Kienbock], right hand"
VERRUGAS PERINANALES.,PERINANAL WARTS.,,,,A63.0,Anogenital (venereal) warts
LESION EN CUERO CABELLUDO,SCALP INJURY,,,,P12.9,"Birth injury to scalp, unspecified"
GANGLIÓN MUÑECA IZQUIERDA.,LEFT WRIST GANGLION.,,,,M67.432,"Ganglion, left wrist"
GNGLION PALMAR MUÑECA DERECHA.,GNGLION PALMAR RIGHT WRIST.,,,,S63.331S,"Traumatic rupture of right ulnocarpal (palmar) ligament, sequela"
VARICES ESOFAGICAS,ESOPHAGEAL VARICES,,,,I85.00,Esophageal varices without bleeding
CARIES DENTALES.,DENTAL CAVIES.,,,,K02.3,Arrested dental caries
CARDIOPATIA CONGENITA,CONGENITAL HEART DISEASE,,,,P09.5,Abnormal findings on neonatal screening for critical congenital heart disease
LESION PLIEGUE VOCAL DERECHO.,RIGHT VOCAL FOLD INJURY.,,,,S35.511S,"Injury of right iliac artery, sequela"
LESION MANGUITO ROTADOR  HOMBRO IZQU,LEFT SHOULDER ROTATOR Cuff INJURY,,,,S46.002S,"Unspecified injury of muscle(s) and tendon(s) of the rotator cuff of left shoulder, sequela"
NEUROMA CUARTO DEDO MANO IZQUIERDA.,NEUROMA OF THE FOURTH FINGER OF THE LEFT HAND.,,,,N80.332,Superficial endometriosis of the left pelvic sidewall
HERNIA UMBILICAL.,UMBILICAL HERNIA.,,,,Q40.1,Congenital hiatus hernia
TUMOR TALLO CEREVRAL,BRAIN STEM TUMOR,,,,G46.3,Brain stem stroke syndrome
CA DE MAMA IZQUIERDA,LEFT BREAST AC,,,,S20.112S,"Abrasion of breast, left breast, sequela"
CATARATA,CATARACT,,,,H26.9,Unspecified cataract
TUMOR HIGADO,LIVER TUMOR,,,,Z52.6,Liver donor
CA BASOCELULAR EN CARA,BASIC CELLULAR AC ON THE FACE,,,,Z56.81,Sexual harassment on the job
DISCOPATÍA LUMBAR L4L5,LUMBAR DISCOPATHY L4L5,,,,S33.110S,"Subluxation of L1/L2 lumbar vertebra, sequela"
LESION OVARIO DERECHA,RIGHT OVARIAN INJURY,,,,N83.201,"Unspecified ovarian cyst, right side"
RUPTURA DE MENICOS .,BREAKUP OF MENICOS.,,,,C04.8,Malignant neoplasm of overlapping sites of floor of mouth
TALLA BAJA,LOW SIZE,,,,Z59.6,Low income
LESION LENGUA,TONGUE INJURY,,,,K14.1,Geographic tongue
LESION MENISCO RODILLA IZQ,LEFT KNEE MENISCUS INJURY,,,,S83.204S,"Other tear of unspecified meniscus, current injury, left knee, sequela"
SD CONVULSIVO,CONVULSIVE DS,,,,L56.5,Disseminated superficial actinic porokeratosis (DSAP)
CATARATA OJO,EYE CATARACT,,,,H59.021,"Cataract (lens) fragments in eye following cataract surgery, right eye"
LESION LARINGE,LARYNX INJURY,,,,S17.0XXS,"Crushing injury of larynx and trachea, sequela"
HALLUX VALGUS DERECHO,RIGHT HALLUX VALGUS,,,,M20.11,"Hallux valgus (acquired), right foot"
LESION MANGUITO ROTADOR,ROTATOR Cuff INJURY,,,,S46.001S,"Unspecified injury of muscle(s) and tendon(s) of the rotator cuff of right shoulder, sequela"
LESION MIEMBRO S UP IZQU,S UP LEFT LIMB INJURY,,,,S97.102S,"Crushing injury of unspecified left toe(s), sequela"
CONTROL DE ENFERMEDAD DIVERTICULAR,DIVERTICULAR DISEASE CONTROL,,,,A48.1,Legionnaires' disease
DISPLASIA CERVICAL,CERVICAL DYSPLASIA,,,,N87.0,Mild cervical dysplasia
QUISTE SENO IZQUIERDO,LEFT BREAST CYST,,,,N60.02,Solitary cyst of left breast
"ABSCESO CUTANEO, FURUNCULO Y CARBUNCO DE","SKIN ABSCESS, BOIL AND CARBUNCLE",,,,J34.0,"Abscess, furuncle and carbuncle of nose"
PLANIFICACION FAMILIAR,FAMILY PLANNING,,,,Z31.61,Procreative counseling and advice using natural family planning
HIPERTROFIA DE CORNETES Y DE AMIGDALAS,HYPERTROPHY OF THE CORNETS AND TONSILS,,,,M89.339,"Hypertrophy of bone, unspecified ulna and radius"
POP CX MANO DERECHA,POP CX RIGHT HAND,,,,T69.011S,"Immersion hand, right hand, sequela"
DOLOR EN MANO IZQUIERDA POS AMPUTACION DE FALANGES,PAIN IN LEFT HAND AFTER PHALANGE AMPUTATION,,,,M79.642,Pain in left hand
HIPOACUSIA DERECHA,RIGHT HEARING HEARING,,,,H91.01,"Ototoxic hearing loss, right ear"
HIPOACUSIA IZQUIERDA,LEFT HEARING HEARING,,,,H91.02,"Ototoxic hearing loss, left ear"
TUMOR EN CUERO CABELLUDO,SCALP TUMOR,,,,S00.01XS,"Abrasion of scalp, sequela"
PERFORACIÓN TIMPÁNICA,TYMPANIC PERFORATION,,,,H72.03,"Central perforation of tympanic membrane, bilateral"
LESION MENISCO RODILLA  DERECHA,RIGHT KNEE MENISCUS INJURY,,,,S83.203S,"Other tear of unspecified meniscus, current injury, right knee, sequela"
SSOPECHA DE GLAUCOMA,GLAUCOMA CHECK,,,,H40.9,Unspecified glaucoma
HERNIA VENTRAL,VENTRAL HERNIA,,,,K43.9,Ventral hernia without obstruction or gangrene
GANGLIÓN,GANGLION,,,,M67.40,"Ganglion, unspecified site"
SECUELAS DE ESGUINCE TOBILLO DERECHA,SEQUELUES ​​OF RIGHT ANKLE SPRAIN,,,,S93.401S,"Sprain of unspecified ligament of right ankle, sequela"
LESION SUBEPITELIAL DE ESOFAGO,SUBEPITHELIAL LESION OF ESOPHAGUS,,,,K63.81,Dieulafoy lesion of intestine
ARTROSIS DE CADERA DER .,RIGHT HIP ARTHROSIS.,,,,M70.71,"Other bursitis of hip, right hip"
HALLUX VALGUS BILARTERAL,BILARTERAL HALLUX VALGUS,,,,M20.10,"Hallux valgus (acquired), unspecified foot"
LESION RODILLA DER,RIGHT KNEE INJURY,,,,S87.01XS,"Crushing injury of right knee, sequela"
REFLUJO VU,VU REFLUX,,,,A05.5,Foodborne Vibrio vulnificus intoxication
"EMB A TEMINO , G2A1","EMB A TEMINO, G2A1",,,,G95.11,Acute infarction of spinal cord (embolic) (nonembolic)
FRACTURA COMPLEJA EN TIBIA IZQUIERDO,COMPLEX FRACTURE IN LEFT TIBIA,,,,M84.562S,"Pathological fracture in neoplastic disease, left tibia, sequela"
CA BASOCELULAR CANTO INTERNO OI,BASIC CELLULAR CA INTERNAL EDGE LE,,,,Z58.81,Basic services unavailable in physical environment
NODULO TIOIDEO HIPERCAPTANTE,HYPER CAPTAINING THIOID NODULE,,,,A66.3,Hyperkeratosis of yaws
SD NEFRÓTICO,NEPHROTIC SD,,,,Z87.441,Personal history of nephrotic syndrome
OTITIS MEDIA CRÓNICA,CHRONIC OTITIS MEDIA,,,,H65.23,"Chronic serous otitis media, bilateral"
CA BASOCELULAR PARPADO INFERIOR,BASAL CELLULAR CA LOWER EYELID,,,,C44.1122,"Basal cell carcinoma of skin of right lower eyelid, including canthus"
COLESTEATOMA OI,OI CHOLESTHEATOMA,,,,J69.1,Pneumonitis due to inhalation of oils and essences
